id,category,link
51,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/8029d23bdc2ba5e6265ea95060ca2529eb6e1365
52,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/a5b3f8740b33bd5a4f164141add54263f0ecaad9
53,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/123e475f3d523ef672d30c5592b363aa884f08b3
54,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/7df992154be8d12493ad878911d8c4a2a5f7cd92
55,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/6599c07817a2ee322a2f1b765c3068e9d6dfa8e1
56,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/7b31958f350c93416271526974488b782885d514
57,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/a4d0e60586df616f7497c83d2b179b4729754f33
58,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/b477e7a92143c6723f741c92878b78b5f97afbba
59,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/e9e734fd669d9891d0f1e39eb83aeb350bae7fd4
60,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/e39455ee0c6c7c6fdf7be7fd2339296e87fd6efb
61,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/85138e7f5f9a43321fdff115a4340431080fa59e
62,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/37d740b43b4f11a5d182901609f0925b17ca9eb2
63,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/bde6a2541724412c8f841ea985a08857d372bb0a
64,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/a950ce34a244343cfaea4d5796632c1e57cbdf2d
65,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/a6cc72aa037846df31b33f2f7eb482bee0e9ae59
66,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/21ff61557ed7fa0ced2f6fdeba779a427669c8be
67,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/f94be57aae8ff5d7c947d7dc409f31248786390e
68,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/2ba99477865bd244a2a7871c6508a185538a14df
69,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/25c26143ea1bf3d6f06960ba4f03580ec65ca295
70,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/1272d4a3b9246b8405a91c2f397dfdacaf4e3000
71,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/29139c1031cdc6fd765c424aedbcdcc450f32c44
72,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/a32377997f8e2fe63130c7b7d403a8a9ed0f0133
73,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/d5614e54c005d6ca5acc8f748383007a6e773892
74,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/0cb0ccf1e8ed3b6741d09d4e968aa1627d737717
75,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/00a8ff66729e93490221b5506574dc64f1db6502
76,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/2b96af1d3bb5fec985a8f358826fd7c3a8ba7251
77,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/438f749deafda43c853fb6a0ce3765247bd0a55f
78,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/36de3a2d62331698ab8f257d8f500966045c5573
79,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/90a0aa88e2f5e33ba984932874272f8b21bafb00
80,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/b608d885dc58c74b7085dfb894a9db2a4598b8ea
81,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/620f5dea67367234c3db7d50b3641738689920a1
82,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/153702779743e8d1abcd9d99a9aca2b810d0ab3f
83,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/89faa7f908a2338ce9606996219dc3fb676cf787
84,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/41ca5ec75a4425f27a69b8f9ab2c164fb91f00ee
85,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/b57b004c11caf41b69731d5320e1cd3acb712a02
86,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/4d9b99b93233a1d575249908efb3adc49fbc4162
87,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/2b512c2766696a363957a8abe848e84bdc1dab44
88,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/ccde816f1ace819c773e2dfe24ed64814ddc7d8f
89,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/e94eb468dc1013da5551dec26a43d9be0cca1fe3
90,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/8b37db46b18727292be7be2b1c6a30cb4ef62550
91,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/e415594acd81deef12a77e8ae9b8789c228ab6ad
92,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/08264222fe6c33e34d2d375b25aacad170cc77b3
93,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/d3b1b53b665fa386045ef2413d86da0d6f116930
94,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/ddaa3a250dd747f9a5a672b92e5336f982b5d2b5
95,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/155d0df6eb2987135e89311ce96dafd75a1b16bb
96,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/95306ca181c15e8f541f1424e5b38c96221ef1db
97,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/4d87a3c7ab2d7f8ec317bd2a7ab1a1f0caae7eff
99,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/2bf3b1883cae10c33624447787e94817779e31cc
100,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/c5b807af7fb4d27a2a868882f7259682de453cab
101,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/05ef6c4450fe5eb90c6b53504bd3143310b58fb0
102,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/1ba6ed3269db97fa177d7de626b3459bd9a334a4
103,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/b2bf05012edd87ebc31dcab261bcdef7c69d58f8
104,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/509c63a04b84115f7adbd98c606643103f5e595f
105,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/49bb058057e28d3ae456328f43e150d29c3da3a4
106,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/615edbaa5234c2164534ab2aa04b254f9297a397
107,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/846012cd0c5e1e03ed9f6c6ba13a4c33ff19ef8f
108,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/fe66262fbc4539f02ccaa5341cc5e8a55e5d6ca7
109,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/7d91859e9c0d2efda795c7d6ef9a01538258eb8f
110,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/b5a09ecaade37beac3d5e9c2a6174fa75dd62c26
111,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/1ba20ab6a34f887cbd6d0895d1e906bfcc1973e8
112,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/be40db139e33904c6666417b4bf136229c78e119
113,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/38e23f71bb0182f442acfba2720502a653c8f568
114,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/b6cfa79878a6847171006694567797b8fce6af11
115,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/412a4a7c35b8c62c71cbdc46d4d127352edf704f
116,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/628bd76f02a15fc66514b5ba835692a9572fdb7a
117,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/b66ab6f7fbd6de3372eef384da58ee33a4c7ea1c
118,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/ca7678da4cfa1c713933020c54ca64be2acf2a67
119,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/e9d840f8dff33912dab38ebbd506746b0efb761d
120,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/72a4c4da5735194aba8017f0a5f6933392ea4f66
121,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/16e5f5f5ff134b93a8728572103b20881d38c1b3
122,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/d7a2b9e0d3224b1568cfe6bd64f09337144bf126
123,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/fb12d0d277d1b32cdbfef8af84f9c43aaa647d6c
124,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/d5d1d74ec24bdf8cb33926bb362a66bd6b2a56c0
125,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/45266bbe56e3005b277a3d881075160d7e950dfc
126,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/cacbc373cd0fece69b4433bfccb3857fbd13484f
127,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/717d111d35aa4bdf29c4abc515a44de090f04b4f
128,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/7ca21883982bd09b59822228b6db64c0bcdf7748
129,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/1194b65cd675fb0e22215c2573b735ade82a3a99
130,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/59b003061a00d53c35f3bb889a30852fbc401dd6
131,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/7964237b894054e9fe1c51892c1dc3133f777890
132,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/8ea7319b5450b14121c1869e012e9692b09e3f7f
133,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/db1ca79a3bd4ba21e1b518f64826bfcddcee13a4
134,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/006fdae3dcb18b2f5d211aa815d142273915b1e1
135,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/cd8396d38cd838261540c65b7c55a9a7c2ab8f5c
136,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/42d5736019d074e86f5d5c1e093c631d76559f9a
137,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/b436a3a136b6da705e46e0976553973e48abd6b6
138,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/e0ce8d4b680f75127734fea7673621db921a3a7d
139,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/e65ee1b6beb8d671c37a28ad12005dc3b919b014
140,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/bcf4af7e5f2ff0c1d080e057bd8486afc479997f
141,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/701af23fd1347f2e8371060c0f2c38d98fb0fc83
142,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/0d3d985fdb744d9f24768a794fb3d5b8624faac2
143,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/a46ba1d2ff87a50db19d638d413bcead08761013
144,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/399672dbdd233cd1fc4f1980d3217f6ccec6ab47
145,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/78e2937de954a55b762e88d4d416840461851eb1
146,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/e022877cb619f544a64567c0d8fd53a6d17063bd
147,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/1db3623643a44f5f293c8b11cbbac516852b1c5e
148,COMMIT,https://github.com/mariocandela/beelzebub/commit/d062435818af94a143f679142e3c6a129e3f0d00
149,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/673767140c1d5d8e1e1ecb15a325b6f4ccca38aa
152,COMMIT,https://github.com/xiyuzhai-husky-lang/husky/commit/1598aaaf9c6a04bdec788c8aebd0741633f5a876
156,COMMIT,https://github.com/rootiest/zippy-klipper_config/commit/bdf3b3ce80586e09f123f69fda66fcb091c49152
160,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/5e83dc021346447fbbe66af3d06bdf9641768a3d
162,COMMIT,https://github.com/abdul97233/fb-chat-bot/commit/34ac26d2e4d12bf8863995c703fdaedcd066ef43
163,COMMIT,https://github.com/abdul97233/fb-chat-bot/commit/eae16a7293dfe6f7ac60a476ab47a575ef84174e
164,COMMIT,https://github.com/abdul97233/fb-chat-bot/commit/4c4d2f92767c3584f254d91314774e1481b0a47e
165,COMMIT,https://github.com/abdul97233/fb-chat-bot/commit/e820a6586ce3b9c9ba9ba9417da537cc2be23e3c
166,COMMIT,https://github.com/ethauvin/mobibot/commit/8c1327655661967752286238eb1389c367b8c3c0
167,COMMIT,https://github.com/bnjbvr/trinity/commit/272930d9af1ba7c34d2ece4756b5d287a60dfda4
168,COMMIT,https://github.com/hyunjun/bookmarks/commit/af683ce5139285258d7e0b7e6274b695961a7c2f
169,COMMIT,https://github.com/abdul97233/fb-chat-bot/commit/48f82442016e7f83b9e7ebbaa31864fedcf708b0
170,COMMIT,https://github.com/vcon-dev/vcon/commit/3a19b28452e683e860e8a4025d6bae12a19e2522
172,COMMIT,https://github.com/1cloudy/chatgpt-wechat-landing-page/commit/69f3f4aeb387a826990eff9409c141c1558a5a18
177,COMMIT,https://github.com/davidpinhas/freedom55/commit/5c1200d24b2f36251aa6ae3708adee6c4a7ea787
181,COMMIT,https://github.com/aimeos/ai-admin-jqadm/commit/9834119f659d2cf1c869b0859d2cbbc5a906f540
183,COMMIT,https://github.com/plops/cl-cpp-generator2/commit/932f2de9e91cae3f88daf32475d48bf070cc9e6e
184,COMMIT,https://github.com/ant-design/ant-design/commit/a624648ecdc37f5b22ef136caa48407e8b23b64f
188,COMMIT,https://github.com/timkmecl/codegpt/commit/d095203cfbcbd04b2c5c2e55e673875d2ad59f4f
190,COMMIT,https://github.com/explosion/prodigy-openai-recipes/commit/e4f31f65138547aae3b58df143ed587787bc41c5
194,COMMIT,https://github.com/c-3lab/dim/commit/b111fb979c66c9b1f871b80ce582107160dfe489
195,COMMIT,https://github.com/ngoquyen45/android-chatgpt/commit/340011292bcd2471b7eedb379896cc2c3bc2236e
200,COMMIT,https://github.com/fabioo29/chatgpt-voice-assistant/commit/ca7dfb25b27e69a5c017a67c18ac4ead2a02f500
201,COMMIT,https://github.com/fabioo29/chatgpt-voice-assistant/commit/059f17ee4ccee2826e53b151d897974107f799ac
202,COMMIT,https://github.com/sealdice/javascript/commit/cffe71ece677b78e99e4efefa683a1f1792bacb4
203,COMMIT,https://github.com/xyproto/orbiton/commit/8291a76352e47cd0be035ab8e230423b84ef2402
207,COMMIT,https://github.com/hyunjun/bookmarks/commit/7978e64872e5c470a2dc80479102432829fd3e65
208,COMMIT,https://github.com/mzbac/chatgpt-plus-api-client/commit/fcd2cbb0641c9765db090e39c21084821ea86442
209,COMMIT,https://github.com/gofireflyio/aiac/commit/acbe643ce2c92f998ce4dd1e09a4ccf44d1e7286
210,COMMIT,https://github.com/swirlai/swirl-search/commit/661e3a621ab07734c5b8bb54ebb112d559930832
212,COMMIT,https://github.com/shengxinjing/fe-advanced-interview/commit/8a2bff0f79745c88dbbda5a5097a551a1cce2a21
216,COMMIT,https://github.com/bhowiebkr/laser-level-webcam/commit/e92b27f74542963f2c135132c099da07f23b7ecb
217,COMMIT,https://github.com/hyunjun/bookmarks/commit/a2f13a06d07260a2b277076208043885d0f1f560
223,COMMIT,https://github.com/jxnl/video-summary-streamer/commit/e46dffd3c0e4966bd5f54540b8fd2d1e84fe5ecb
224,COMMIT,https://github.com/sourceability/openai-client/commit/0d0cefb7fe9136d9a77bc85604f175e11187bd41
225,COMMIT,https://github.com/dust-tt/dust/commit/4d58b845926c66b188ecc249a8c324f44a510967
226,COMMIT,https://github.com/markuswt/gpt-commit/commit/26eb6ca1ee2c0510ef37e8b926c946c7243ed36e
227,COMMIT,https://github.com/felixbade/assistant/commit/0969aa473842f9fb95a5701c2dcb181d0093b836
228,COMMIT,https://github.com/seandearnaley/reddit-gpt-summarizer/commit/8021e75cb3a23e91a44c42ce9722a45141001593
229,COMMIT,https://github.com/uezo/gpt3-contextual/commit/39f1e30c02f063a0f8a3b2c456aa2ce086cd21cf
230,COMMIT,https://github.com/fzdwx/popup-translation/commit/c21afbb49434a747bd4fb4e41930521d2533d44c
231,COMMIT,https://github.com/yuki-yano/ai-review.nvim/commit/50d8d505d0eb542a51804b5d757fdf6bebc6806a
232,COMMIT,https://github.com/yihong0618/xiaogpt/commit/3477046cc0a050ddb8140e1cbb8b08bbbeb8d51a
234,COMMIT,https://github.com/dust-tt/dust/commit/90a25cbfce0a60d2d8b2afb340f80fa458f97d88
235,COMMIT,https://github.com/santiment/sanbase2/commit/cd6f4709f51a6f7b4cc51a238ffa21fedc981359
236,COMMIT,https://github.com/santiment/sanbase2/commit/a221d717f0e23866084299841c1799a27b7e5ab9
237,COMMIT,https://github.com/uezo/gpt3-contextual/commit/75c34cb8603cdd0bd8c65ac5fba2a5fda554e719
238,COMMIT,https://github.com/merefield/discourse-chatbot/commit/b503311f6d109f3a828311f60fcfe00b79f47810
241,COMMIT,https://github.com/jxnl/magic-text/commit/3f910114e082853c912f4e51a0079baf01802ec0
242,COMMIT,https://github.com/jetkai/openai-for-java/commit/5beabeb3f16eb9b01e2230afc79ff5cab644b27f
243,COMMIT,https://github.com/asleepyfish/chatgpt/commit/1612fb261e3c06ea5e87c98bd05e44ebd58f14e8
245,COMMIT,https://github.com/amosjyng/zamm/commit/ba6041069c84f64273b805e48421f31091d4d462
246,COMMIT,https://github.com/mgilangjanuar/gptcommit/commit/03df06bc905ac9ba50f70a3c31e5bbfcb4c630b9
247,COMMIT,https://github.com/hallatore/stable-diffusion-webui-chatgpt-utilities/commit/aafe26b324d73ae38caf5f3cab81462af887fbd0
248,COMMIT,https://github.com/hallatore/stable-diffusion-webui-chatgpt-utilities/commit/511eb4e2f582dcd021ce4bdb1a582a1ef3204aff
250,COMMIT,https://github.com/amosjyng/zamm/commit/6a90de7f0abfd9838bb24f429768278859ee5718
251,COMMIT,https://github.com/amosjyng/zamm/commit/86a0be65617f40e9404f1113111322fa4d9a361d
252,COMMIT,https://github.com/amosjyng/zamm/commit/14576d655ab66c92e1a422441ef6f51a7dc29fae
253,COMMIT,https://github.com/whiteeat/ai-vtuber-alpha/commit/d8fdad146e6c248959f219096e3f1aedebe70f92
255,COMMIT,https://github.com/hallatore/stable-diffusion-webui-chatgpt-utilities/commit/2c1304fd12cae9783c2f42a220f11a5032c1ef0c
256,COMMIT,https://github.com/debanjum/khoj/commit/ad1f1cf6201ea7279be892535572c23e4ea81aa4
261,COMMIT,https://github.com/chathub-dev/chathub/commit/d7a080ecd8bb47406594c2781baeda9357d37e2d
262,COMMIT,https://github.com/kiranvshah/chatgpt-helper/commit/3cd5b0b0715237b6fdb5b7034eeed333c0c1564c
263,COMMIT,https://github.com/hyunjun/bookmarks/commit/12541e8fd01633e3d0e7b622aaa5b0595e89a7e1
264,COMMIT,https://github.com/hallatore/stable-diffusion-webui-chatgpt-utilities/commit/c79f463f9d0d7b84d4879e02f2faa17aa6946f49
265,COMMIT,https://github.com/hallatore/stable-diffusion-webui-chatgpt-utilities/commit/31563d3172be1ae2c0b0ae045e0ce1688648db74
270,COMMIT,https://github.com/reorx/awesome-chatgpt-api/commit/2e9caa7b6b4fc909fba955a446944acdd2d02331
272,COMMIT,https://github.com/reorx/awesome-chatgpt-api/commit/86c29156774a8632a96353bea5c34f409c42b526
273,COMMIT,https://github.com/reorx/awesome-chatgpt-api/commit/899d0603d7dba270a65986655447ce97ec7bcf2f
274,COMMIT,https://github.com/prompt-engineering/click-prompt/commit/597b6554650ca193bd4ae8c0a7eb4f7befa17847
276,COMMIT,https://github.com/kezhenxu94/chatgpt-java/commit/79b89ab80d0668d3173a2eeb491d8cd7e71c348c
278,COMMIT,https://github.com/textgain/grasp/commit/2b51ff4787c665d5cc29e0294fee7094f687e26c
279,COMMIT,https://github.com/reorx/awesome-chatgpt-api/commit/9227e222237f082b3d62b3bc732d684ebdb2542d
280,COMMIT,https://github.com/reorx/awesome-chatgpt-api/commit/6e81ec848c53c9412f4d9cec1628f8b5f32feba8
282,COMMIT,https://github.com/ianb/llm-garden/commit/dcf8d49bc7e6f8c4b0c238af827d7672d6dee4ab
283,COMMIT,https://github.com/hyunjun/bookmarks/commit/88556ad59aaf652494ddf94adc4b050c90d397f2
284,COMMIT,https://github.com/hotbear1110/botbear/commit/f0f2dc8ac681cf62caf775d9552996b9073f00d9
285,COMMIT,https://github.com/skyportal/skyportal/commit/d71e33ad61a8a4437350124fb1990b5b110c3482
286,COMMIT,https://github.com/youngle316/chatgpt-nextjs/commit/0209fce81cc5fc8a9e0b8d4dde23fae0d525b654
287,COMMIT,https://github.com/youngle316/chatgpt-nextjs/commit/e8a34aed69be7d21d5cdb1c0bb0e1211b1fef277
289,COMMIT,https://github.com/noteable-io/genai/commit/1f837313ed80466e4234262400e3e4ef0969bdcd
290,COMMIT,https://github.com/samelhousseini/km-openai/commit/1cc59621aa07e120a622735f77cd94066f89e08f
293,COMMIT,https://github.com/debanjum/khoj/commit/6c0e82b2d6b04f7d0944f122dc26d04063e3674e
294,COMMIT,https://github.com/kholmogorov27/chevron/commit/cd0ce2746b7d8132ff8a1d27631203e184163906
295,COMMIT,https://github.com/whatwewant/chatgpt-for-chatbot-feishu/commit/b4a6f67b6b61b90f1ad81cd0872f0be2a76fba85
296,COMMIT,https://github.com/dense-analysis/neural/commit/dea5e26b848cde0d301825b9ad07f4daff408bea
297,COMMIT,https://github.com/handrew/browserpilot/commit/c88a4c52a9820160cdc9283efae8c2258de0c3f2
299,COMMIT,https://github.com/ykdojo/sensei/commit/dbaca615ef05ab8d26ac8410b2d2aefdb140de26
300,COMMIT,https://github.com/exoascension/vault-chat/commit/1d42ed1ae604bef497335553db0f37a66e203a90
301,COMMIT,https://github.com/ianb/llm-garden/commit/290ccf6753ce79fb5f6a7b742d44714b4f062661
302,COMMIT,https://github.com/geeks-of-data/knowledge-gpt/commit/657e4350ac4443562007537ae901347da3e8ace8
303,COMMIT,https://github.com/geeks-of-data/knowledge-gpt/commit/94ec252f68660aa1760c8d6be2d830fc21b90b59
304,COMMIT,https://github.com/linyinfeng/dotfiles/commit/365b232bea9df2084bc65f494a86c7f73a7e8da3
306,COMMIT,https://github.com/stevecondylios/gpt-generated-commit-messages/commit/e69ce4a9c1ca59709826a5a3f09df54125e8e13c
307,COMMIT,https://github.com/stevecondylios/gpt-generated-commit-messages/commit/0492245a34e73dd52290cde7451115f059aa5a4c
309,COMMIT,https://github.com/sagemathinc/cocalc/commit/35d00ac0bf0459eb73ba7cc3d6388a6bb15f054d
310,COMMIT,https://github.com/sagemathinc/cocalc/commit/f6a9744a919fab513b1add7a345c7ec8ab1928a2
316,COMMIT,https://github.com/pythops/amagpt3/commit/50111c118cad8a74f6e7d684cbc12ea3e673d91f
317,COMMIT,https://github.com/deeppavlov/dream/commit/8c7d82ec4dbf008758ae83a98a920b373a76677c
318,COMMIT,https://github.com/pionxzh/chatgpt-exporter/commit/0a78d2e17ae96a9182e289cbb7b9ade465f740b9
